Spectrum,Nutrient,Concentration,Intensity,File
1008.3384,Solution-Glutamine,0.02,778.9182619248,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1010.3355,Solution-Glutamine,0.02,747.5118926028,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1012.3318,Solution-Glutamine,0.02,588.7316190569,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1014.3275,Solution-Glutamine,0.02,648.6446436231,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1016.3225,Solution-Glutamine,0.02,652.2989369360,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1018.3168,Solution-Glutamine,0.02,584.0640633386,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1020.3103,Solution-Glutamine,0.02,428.4845019188,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1022.3032,Solution-Glutamine,0.02,412.7543427992,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1024.2953,Solution-Glutamine,0.02,252.0801855764,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1026.2868,Solution-Glutamine,0.02,241.7485707233,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1028.2775,Solution-Glutamine,0.02,191.8941549149,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1030.2676,Solution-Glutamine,0.02,195.9765890581,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1032.2569,Solution-Glutamine,0.02,164.8796110014,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1034.2455,Solution-Glutamine,0.02,42.1183287727,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1036.2334,Solution-Glutamine,0.02,17.2400550671,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1038.2206,Solution-Glutamine,0.02,6.4126673408,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1040.2071,Solution-Glutamine,0.02,3.1301585818,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1042.1929,Solution-Glutamine,0.02,-0.0000000000,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1044.178,Solution-Glutamine,0.02,13.2586930240,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
