Spectrum,Nutrient,Concentration,Intensity,File
1115.1669,D1-CNR-Sulfate,10.5,1574.0271929964,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1117.1256,D1-CNR-Sulfate,10.5,1741.3903711719,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1119.0835,D1-CNR-Sulfate,10.5,1927.7636912753,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1121.0408,D1-CNR-Sulfate,10.5,2008.2336894760,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1122.9973,D1-CNR-Sulfate,10.5,2094.9317585079,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1124.9531,D1-CNR-Sulfate,10.5,2175.2044845038,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1126.9082,D1-CNR-Sulfate,10.5,2126.1741641696,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1128.8626,D1-CNR-Sulfate,10.5,2065.2029166043,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1130.8163,D1-CNR-Sulfate,10.5,1966.4010427023,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1132.7692,D1-CNR-Sulfate,10.5,1828.2762574081,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1134.7214,D1-CNR-Sulfate,10.5,1605.3908076128,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1136.6729,D1-CNR-Sulfate,10.5,1483.9101667541,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1138.6237,D1-CNR-Sulfate,10.5,1227.9651779968,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1140.5738,D1-CNR-Sulfate,10.5,1071.6833325958,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1142.5231,D1-CNR-Sulfate,10.5,883.2678510134,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1144.4717,D1-CNR-Sulfate,10.5,750.0306728018,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1146.4196,D1-CNR-Sulfate,10.5,688.9151070751,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1148.3668,D1-CNR-Sulfate,10.5,655.1707648491,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1150.3132,D1-CNR-Sulfate,10.5,599.9862105798,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1152.259,D1-CNR-Sulfate,10.5,530.7263433239,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1154.204,D1-CNR-Sulfate,10.5,495.6965742440,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1156.1483,D1-CNR-Sulfate,10.5,488.4845484991,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1158.0919,D1-CNR-Sulfate,10.5,429.6948332966,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1160.0347,D1-CNR-Sulfate,10.5,307.6658503268,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1161.9768,D1-CNR-Sulfate,10.5,261.6775418874,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1163.9182,D1-CNR-Sulfate,10.5,203.1671390779,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1165.8589,D1-CNR-Sulfate,10.5,141.2600894439,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1167.7989,D1-CNR-Sulfate,10.5,87.6459235730,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1169.7381,D1-CNR-Sulfate,10.5,47.3662582624,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1171.6766,D1-CNR-Sulfate,10.5,53.0470003171,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1173.6144,D1-CNR-Sulfate,10.5,0.0000000000,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1175.5514,D1-CNR-Sulfate,10.5,27.7352649936,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1177.4878,D1-CNR-Sulfate,10.5,-0.0000000000,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1179.4234,D1-CNR-Sulfate,10.5,5.2306816580,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1181.3583,D1-CNR-Sulfate,10.5,0.0000000000,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1183.2924,D1-CNR-Sulfate,10.5,17.7743721976,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1185.2259,D1-CNR-Sulfate,10.5,0.0000000000,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
