Spectrum,Nutrient,Concentration,Intensity,File
1091.6067,D1-CNR-Glucose,10.1,771.5854569493,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1093.574,D1-CNR-Glucose,10.1,704.7681152435,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1095.5406,D1-CNR-Glucose,10.1,683.5086997708,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1097.5064,D1-CNR-Glucose,10.1,662.9186127462,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1099.4716,D1-CNR-Glucose,10.1,752.0859024019,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1101.436,D1-CNR-Glucose,10.1,760.4802312714,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1103.3997,D1-CNR-Glucose,10.1,839.5636093853,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1105.3627,D1-CNR-Glucose,10.1,877.1609404034,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1107.3249,D1-CNR-Glucose,10.1,999.3948713499,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1109.2865,D1-CNR-Glucose,10.1,1014.5622580808,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1111.2473,D1-CNR-Glucose,10.1,1118.5325240992,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1113.2075,D1-CNR-Glucose,10.1,1245.4001005494,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1115.1669,D1-CNR-Glucose,10.1,1408.0109773921,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1117.1256,D1-CNR-Glucose,10.1,1530.1865215334,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1119.0835,D1-CNR-Glucose,10.1,1693.1792608457,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1121.0408,D1-CNR-Glucose,10.1,1818.3104994463,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1122.9973,D1-CNR-Glucose,10.1,1938.2268086248,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
